Customer Name,Address Line1,Address Line2,Address Line3,Address Line4,Postcode,Telephone,Mobile,Email,Web,VAT No,Company No,Contact Salutation,Contact First Name,Contact Last Name,Contact Position,Contact Email,Contact Phone,Contact Mobile,Industry
 Interactive Prospect Targeting,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)20 7932 4100,0)20 7834 5708,,www.ipt-ltd.co.u,,,,,,,,,,,
 Interactive Prospect Targeting222,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)20 7932 4100,0)20 7834 5708,,www.ipt-ltd.co.u,,,,,,,,,,,
07000 Bagverts,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
1E Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8326 3880,020 8840 9578,,www.1e.com,,,,,,,,,,,
1Up Media Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7821 5811,,,,,,,,,,,,,,
23 The Church Agency   ,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01234 404040,,,www.thechurchagency.com,,,,,,,,,,,
3 Step IT,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
3DD Entertainment,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7428 1800,020 7428 1818,,,,,,,,,,,,,
3G Communications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7935 1222,,,www.3gc.co.uk,,,,,,,,,,,
3M Uk Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01344 858 000,,,,,,,,,,,,,,
3T Productions,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0161 492 1400 ,,,www.3t.co.uk,,,,,,,,,,,
422 South,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0117 946 7222,0117 946 7722,,www.422.com,,,,,,,,,,,
